Date,Close,Close_Forecast
2002-03-01,10100.0,10208.966
2002-03-05,9985.0,10195.371
2002-03-06,9955.0,10171.518
2002-03-07,9943.0,10143.638
2002-03-08,10015.0,10114.151
2002-03-11,9945.0,10091.919
2002-03-12,9970.0,10067.761
2002-03-13,9975.0,10047.462
2002-03-14,9967.0,10031.614
2002-03-15,9995.0,10017.62
2002-03-18,9970.0,10007.116
2002-03-19,9965.0,9996.48
2002-03-20,9892.0,9987.49
2002-03-21,9870.0,9974.201
2002-03-22,9825.0,9957.841
2002-03-25,9705.0,9937.295
2002-03-26,9575.0,9906.138
2002-03-27,9660.0,9865.509
2002-03-28,9825.0,9831.438
2002-04-02,9770.0,9814.035
2002-04-03,9803.0,9799.909
2002-04-04,9655.0,9792.046
2002-04-05,9585.0,9776.364
2002-04-08,9547.0,9753.348
2002-04-09,9665.0,9724.857
2002-04-10,9580.0,9704.427
2002-04-11,9550.0,9681.981
2002-04-12,9545.0,9657.736
2002-04-15,9395.0,9636.309
2002-04-16,9433.0,9603.221
2002-04-17,9430.0,9570.374
2002-04-18,9390.0,9543.229
2002-04-19,9320.0,9516.806
2002-04-22,9352.0,9487.375
2002-04-23,9430.0,9461.23
2002-04-24,9325.0,9445.089
2002-04-25,9370.0,9424.492
2002-04-26,9305.0,9409.067
2002-04-29,9325.0,9392.06
2002-04-30,9330.0,9377.787
2002-05-02,9340.0,9364.822
2002-05-03,9310.0,9354.133
2002-05-06,9289.0,9343.323
2002-05-07,9290.0,9332.042
2002-05-08,9290.0,9322.718
2002-05-10,9285.0,9313.777
2002-05-13,9277.0,9307.282
2002-05-14,9270.0,9299.344
2002-05-15,9240.0,9294.237
2002-05-16,9150.0,9286.963
2002-05-17,9090.0,9272.89
2002-05-20,9040.0,9254.056
2002-05-21,9035.0,9230.147
2002-05-22,9065.0,9206.595
2002-05-23,8945.0,9184.825
2002-05-24,8957.5,9158.7295
2002-05-27,8905.0,9132.867
2002-05-28,8867.5,9104.518
2002-05-29,8850.0,9075.602
2002-05-30,8843.0,9050.143
2002-05-31,8697.5,9027.392
2002-06-03,8545.0,8994.721
2002-06-04,8650.0,8956.374
2002-06-05,8925.0,8920.297
2002-06-06,9045.0,8906.321
2002-06-07,8875.0,8908.297
2002-06-10,8730.0,8908.516
2002-06-11,8775.0,8897.285
2002-06-12,8715.0,8887.822
2002-06-13,8751.0,8874.589
2002-06-14,8660.0,8859.802
2002-06-17,8688.0,8846.255
2002-06-18,8655.0,8832.947
2002-06-19,8695.0,8819.92
2002-06-20,8597.5,8809.0
2002-06-21,8630.0,8796.605
2002-06-24,8585.0,8786.36
2002-06-25,8657.5,8773.809
2002-06-26,8680.0,8766.967
2002-06-27,8640.0,8760.359
2002-06-28,8713.0,8754.471
2002-07-01,8710.0,8751.613
2002-07-02,8805.0,8749.683
2002-07-03,8965.0,8751.499
2002-07-04,8855.0,8762.714
2002-07-05,8860.0,8773.55
2002-07-08,8900.0,8784.303
2002-07-09,8910.0,8795.663
2002-07-10,8907.5,8806.597
2002-07-11,9135.0,8816.698
2002-07-12,9075.0,8841.264
2002-07-15,9047.5,8864.384
2002-07-16,9040.0,8885.061
2002-07-17,8965.0,8901.37
2002-07-18,8870.0,8912.296
2002-07-19,8775.0,8915.655
2002-07-22,8817.5,8909.057
2002-07-23,9005.0,8903.999
2002-07-24,9062.5,8907.517
2002-07-25,9005.0,8917.421
2002-07-26,9150.0,8926.98
2002-07-29,9250.0,8944.822
2002-07-30,9115.0,8970.381
2002-07-31,9064.5,8987.834
2002-08-01,9155.0,9001.302
2002-08-02,9075.0,9017.063
2002-08-05,9087.5,9026.866
2002-08-06,9085.0,9030.093
2002-08-07,9060.0,9032.294
2002-08-08,8990.0,9035.828
2002-08-09,8990.0,9033.593
2002-08-12,8850.0,9030.541
2002-08-13,8880.0,9016.167
2002-08-14,8775.0,9002.812
2002-08-15,8857.5,8981.187
2002-08-16,8815.0,8966.515
2002-08-19,8847.5,8949.937
2002-08-20,8845.0,8938.318
2002-08-21,8875.0,8928.31
2002-08-22,8845.0,8921.473
2002-08-23,8887.5,8914.815
2002-08-26,8930.0,8911.2295
2002-08-27,8887.5,8909.7295
2002-08-28,8886.0,8906.37
2002-08-29,8865.0,8905.231
2002-08-30,8855.0,8903.755
2002-09-02,8851.0,8898.325
2002-09-03,8842.5,8894.363
2002-09-04,8870.0,8890.317
2002-09-05,8863.0,8887.95
2002-09-06,8870.0,8886.472
2002-09-09,8825.0,8889.62
